"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"S1: valid login navigates to /inventory.html with 6 products.","225","test_standard_user_login_lands_on_inventory[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","58","test_inventory_sorted_by_name[webkit-z_to_a]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","721","test_valid_user_types_reach_inventory[firefox-problem_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","65","test_inventory_sorted_by_name[firefox-a_to_z]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5266","test_performance_glitch_user_loads_inventory_within_limit[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"For `error_user`, the Last Name field on Checkout Step One rejects keyboard input This is the expected test. The day SauceDemo fixes the bug, the test will XPASS, which is our signal to remove the xfail marker and promote it to a normal passing test.","463","test_error_user_can_type_last_name_at_checkout[chromium]","ui.tests","2026-07-18","skipped","2026-07-18","","test_checkout","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","186","test_continue_shopping_returns_to_inventory_preserving_cart[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","254","test_valid_user_types_reach_inventory[chromium-problem_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5735","test_performance_glitch_user_loads_inventory_within_limit[firefox]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","39","test_inventory_sorted_by_name[chromium-z_to_a]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"S3: complete a purchase from inventory through order confirmation.","238","test_full_checkout_happy_path[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_e2e","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","324","test_valid_user_types_reach_inventory[chromium-visual_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R1: selecting a price sort reorders products correctly.
    ","48","test_inventory_sorted_by_price[webkit-high_to_low]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"N2: locked_out_user credentials → account locked error message.","286","test_locked_out_user_sees_lockout_error[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5424","test_valid_user_types_reach_inventory[webkit-performance_glitch_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"S2: adding one product makes the cart badge show 1.","53","test_add_single_product_increments_cart_badge[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"R1: selecting a price sort reorders products correctly.
    ","78","test_inventory_sorted_by_price[firefox-low_to_high]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"R3: add three products, remove one on the cart page, verify survivors.","424","test_remove_one_item_from_cart_updates_state[firefox]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"R2: selecting a name sort reorders products alphabetically.","35","test_inventory_sorted_by_name[chromium-a_to_z]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5390","test_performance_glitch_user_loads_inventory_within_limit[webkit]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","398","test_checkout_summary_math_is_correct[webkit]","ui.tests","2026-07-18","passed","2026-07-18","","test_checkout","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5409","test_valid_user_types_reach_inventory[firefox-performance_glitch_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"A6: GET /pet/{bogus_id} for a non-existent pet returns 404.","20","test_get_nonexistent_pet_returns_404","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","338","test_continue_shopping_returns_to_inventory_preserving_cart[firefox]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"N1: submitting empty form → 'Username is required' error banner.","283","test_empty_credentials_shows_username_required_error[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","81","test_inventory_sorted_by_name[firefox-z_to_a]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","273","test_valid_user_types_reach_inventory[chromium-standard_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","393","test_valid_user_types_reach_inventory[firefox-visual_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","466","test_checkout_summary_math_is_correct[firefox]","ui.tests","2026-07-18","passed","2026-07-18","","test_checkout","",""
"R1: selecting a price sort reorders products correctly.
    ","37","test_inventory_sorted_by_price[chromium-high_to_low]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"A3: PUT /pet updates an existing pet's name and status.","9","test_update_pet_changes_name_and_status","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","388","test_valid_user_types_reach_inventory[webkit-problem_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5319","test_valid_user_types_reach_inventory[chromium-performance_glitch_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"R1: selecting a price sort reorders products correctly.
    ","62","test_inventory_sorted_by_price[firefox-high_to_low]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","397","test_valid_user_types_reach_inventory[webkit-visual_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"A4: after DELETE /pet/{id}, a subsequent GET returns 404.","18","test_delete_pet_then_get_returns_404","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","276","test_continue_shopping_returns_to_inventory_preserving_cart[webkit]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"A5: GET /pet/findByStatus?status=available returns available pets.","15","test_find_by_status_available_returns_available_pets","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","739","test_valid_user_types_reach_inventory[firefox-standard_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"S4: hamburger menu → Logout → user lands back on login page.","1143","test_logout_returns_to_login_page[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
"A1: POST /pet returns 200 and the response echoes id, name, status.","82","test_create_pet_returns_200_and_echoes_body","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","292","test_checkout_summary_math_is_correct[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_checkout","",""
"N3: SauceDemo validates required fields one at a time, in order.","319","test_checkout_step_one_empty_fields_show_validation_errors[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_checkout","",""
"R1: selecting a price sort reorders products correctly.
    ","48","test_inventory_sorted_by_price[webkit-low_to_high]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"R1: selecting a price sort reorders products correctly.
    ","39","test_inventory_sorted_by_price[chromium-low_to_high]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"A2: GET /pet/{id} returns the pet created by the fixture.","5","test_get_returns_the_created_pet","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"R3: add three products, remove one on the cart page, verify survivors.","238","test_remove_one_item_from_cart_updates_state[chromium]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"R3: add three products, remove one on the cart page, verify survivors.","757","test_remove_one_item_from_cart_updates_state[webkit]","ui.tests","2026-07-18","passed","2026-07-18","","test_cart","",""
"A7: POST /pet/{id}/uploadImage accepts a multipart file upload.
    ","54","test_upload_pet_image_returns_200","api.tests","2026-07-18","passed","2026-07-18","","test_pet_api","",""
"R2: selecting a name sort reorders products alphabetically.","64","test_inventory_sorted_by_name[webkit-a_to_z]","ui.tests","2026-07-18","passed","2026-07-18","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","401","test_valid_user_types_reach_inventory[webkit-standard_user]","ui.tests","2026-07-18","passed","2026-07-18","","test_login","",""
