"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"R2: selecting a name sort reorders products alphabetically.","57","test_inventory_sorted_by_name[webkit-a_to_z]","ui.tests","2026-06-08","passed","2026-06-08","","test_inventory","",""
"R2: selecting a name sort reorders products alphabetically.","58","test_inventory_sorted_by_name[firefox-z_to_a]","ui.tests","2026-06-08","passed","2026-06-08","","test_inventory","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5381","test_performance_glitch_user_loads_inventory_within_limit[webkit]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"For `error_user`, the Last Name field on Checkout Step One rejects keyboard input This is the expected test. The day SauceDemo fixes the bug, the test will XPASS, which is our signal to remove the xfail marker and promote it to a normal passing test.","624","test_error_user_can_type_last_name_at_checkout[chromium]","ui.tests","2026-06-08","skipped","2026-06-08","","test_checkout","",""
"A3: PUT /pet updates an existing pet's name and status.","9","test_update_pet_changes_name_and_status","api.tests","2026-06-08","passed","2026-06-08","","test_pet_api","",""
"N2: locked_out_user credentials → account locked error message.","461","test_locked_out_user_sees_lockout_error[chromium]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","42","test_inventory_sorted_by_name[chromium-z_to_a]","ui.tests","2026-06-08","passed","2026-06-08","","test_inventory","",""
"R1: selecting a price sort reorders products correctly.
    ","105","test_inventory_sorted_by_price[firefox-high_to_low]","ui.tests","2026-06-08","passed","2026-06-08","","test_inventory","",""
"A4: after DELETE /pet/{id}, a subsequent GET returns 404.","14","test_delete_pet_then_get_returns_404","api.tests","2026-06-08","passed","2026-06-08","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","403","test_valid_user_types_reach_inventory[firefox-visual_user]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5342","test_valid_user_types_reach_inventory[firefox-performance_glitch_user]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","685","test_valid_user_types_reach_inventory[firefox-standard_user]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","340","test_continue_shopping_returns_to_inventory_preserving_cart[firefox]","ui.tests","2026-06-08","passed","2026-06-08","","test_cart","",""
"R1: selecting a price sort reorders products correctly.
    ","83","test_inventory_sorted_by_price[firefox-low_to_high]","ui.tests","2026-06-08","passed","2026-06-08","","test_inventory","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5314","test_performance_glitch_user_loads_inventory_within_limit[chromium]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"S1: valid login navigates to /inventory.html with 6 products.","321","test_standard_user_login_lands_on_inventory[chromium]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"A7: POST /pet/{id}/uploadImage accepts a multipart file upload.
    ","54","test_upload_pet_image_returns_200","api.tests","2026-06-08","passed","2026-06-08","","test_pet_api","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5975","test_performance_glitch_user_loads_inventory_within_limit[firefox]","ui.tests","2026-06-08","passed","2026-06-08","","test_login","",""
"R3: add three products, remove one on the cart page, verify survivors.","403","test_remove_one_item_from_cart_updates_state[firefox]","ui.tests","2026-06-08","passed","2026-06-08","","test_cart","",""
"R3: add three products, remove one on the cart page, verify survivors.","219","test_remove_one_item_from_cart_updates_state[chromium]","ui.tests","2026-06-08","passed","2026-06-08","","test_cart","",""
