"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5244","test_performance_glitch_user_loads_inventory_within_limit[chromium]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"S4: hamburger menu → Logout → user lands back on login page.","1160","test_logout_returns_to_login_page[chromium]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5392","test_valid_user_types_reach_inventory[firefox-performance_glitch_user]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","246","test_checkout_summary_math_is_correct[chromium]","ui.tests","2026-08-16","passed","2026-08-16","","test_checkout","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","292","test_valid_user_types_reach_inventory[chromium-visual_user]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"A5: GET /pet/findByStatus?status=available returns available pets.","10","test_find_by_status_available_returns_available_pets","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","356","test_valid_user_types_reach_inventory[webkit-problem_user]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"S3: complete a purchase from inventory through order confirmation.","261","test_full_checkout_happy_path[chromium]","ui.tests","2026-08-16","passed","2026-08-16","","test_e2e","",""
"A7: POST /pet/{id}/uploadImage accepts a multipart file upload.
    ","51","test_upload_pet_image_returns_200","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","367","test_valid_user_types_reach_inventory[webkit-visual_user]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"A3: PUT /pet updates an existing pet's name and status.","11","test_update_pet_changes_name_and_status","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","634","test_valid_user_types_reach_inventory[firefox-problem_user]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"A1: POST /pet returns 200 and the response echoes id, name, status.","120","test_create_pet_returns_200_and_echoes_body","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
"R2: selecting a name sort reorders products alphabetically.","55","test_inventory_sorted_by_name[firefox-z_to_a]","ui.tests","2026-08-16","passed","2026-08-16","","test_inventory","",""
"R2: selecting a name sort reorders products alphabetically.","55","test_inventory_sorted_by_name[firefox-a_to_z]","ui.tests","2026-08-16","passed","2026-08-16","","test_inventory","",""
"A2: GET /pet/{id} returns the pet created by the fixture.","7","test_get_returns_the_created_pet","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
"R3: add three products, remove one on the cart page, verify survivors.","671","test_remove_one_item_from_cart_updates_state[webkit]","ui.tests","2026-08-16","passed","2026-08-16","","test_cart","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","453","test_checkout_summary_math_is_correct[firefox]","ui.tests","2026-08-16","passed","2026-08-16","","test_checkout","",""
"S1: valid login navigates to /inventory.html with 6 products.","239","test_standard_user_login_lands_on_inventory[chromium]","ui.tests","2026-08-16","passed","2026-08-16","","test_login","",""
"A6: GET /pet/{bogus_id} for a non-existent pet returns 404.","22","test_get_nonexistent_pet_returns_404","api.tests","2026-08-16","passed","2026-08-16","","test_pet_api","",""
