"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.

@pytest.mark.parametrize runs this function once per entry in VALID_USERS.
You will see 4 test entries in the output: test_valid_user...[standard_user],
[...problem_user], etc.
","329","test_valid_user_types_reach_inventory[chromium-standard_user]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"R1: selecting a price sort reorders products correctly.

We read the displayed order and assert it equals that same list sorted
by Python — proving the UI's ordering matches the expected contract,
without hard-coding fragile price values.
","65","test_inventory_sorted_by_price[webkit-high_to_low]","ui.tests","2026-06-05","passed","2026-06-05","","test_inventory","",""
"S4: hamburger menu → Logout → user lands back on login page.","1241","test_logout_returns_to_login_page[chromium]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"R3: add three products, remove one on the cart page, verify survivors.","372","test_remove_one_item_from_cart_updates_state[firefox]","ui.tests","2026-06-05","passed","2026-06-05","","test_cart","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.

@pytest.mark.parametrize runs this function once per entry in VALID_USERS.
You will see 4 test entries in the output: test_valid_user...[standard_user],
[...problem_user], etc.
","439","test_valid_user_types_reach_inventory[firefox-visual_user]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.

@pytest.mark.parametrize runs this function once per entry in VALID_USERS.
You will see 4 test entries in the output: test_valid_user...[standard_user],
[...problem_user], etc.
","372","test_valid_user_types_reach_inventory[webkit-visual_user]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","66","test_inventory_sorted_by_name[webkit-a_to_z]","ui.tests","2026-06-05","passed","2026-06-05","","test_inventory","",""
"R3: add three products, remove one on the cart page, verify survivors.","230","test_remove_one_item_from_cart_updates_state[chromium]","ui.tests","2026-06-05","passed","2026-06-05","","test_cart","",""
"S1: valid login navigates to /inventory.html with 6 products.","304","test_standard_user_login_lands_on_inventory[chromium]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"P2: performance_glitch_user — inventory page should load within 10s.

SauceDemo intentionally adds ~5s latency for this user to simulate a
sluggish backend. We verify it still completes within a generous limit.

Note: uses wall-clock timing with time.time() — this is a soft
upper-bound check, not a substitute for real perf tooling (Lighthouse/k6).
","5314","test_performance_glitch_user_loads_inventory_within_limit[chromium]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
"P2: performance_glitch_user — inventory page should load within 10s.

SauceDemo intentionally adds ~5s latency for this user to simulate a
sluggish backend. We verify it still completes within a generous limit.

Note: uses wall-clock timing with time.time() — this is a soft
upper-bound check, not a substitute for real perf tooling (Lighthouse/k6).
","5378","test_performance_glitch_user_loads_inventory_within_limit[webkit]","ui.tests","2026-06-05","passed","2026-06-05","","test_login","",""
